id,番号,種別,保育園名,住　　所,電話番号,定員,開所,時間外,終了時間,園バス,緯度,経度,備考
1,k-1,公立保育園一覧,東部保育園,手寄2丁目2-27,20-5416,55,7:30,16:00?18:00,18:30,,36.0591068,136.2275713,公立保育園一覧№１
2,k-2,公立保育園一覧,西部保育園,花月2丁目10-10,22-0072,80,7:30,16:00?18:00,18:30,,36.0692551,136.2087254,公立保育園一覧№2
3,k-3,公立保育園一覧,北部保育園,松本2丁目7-26,20-5411,100,7:30,16:00?18:00,18:30,,36.0720134,136.2284123,公立保育園一覧№3
4,k-4,公立保育園一覧,日之出保育園,日之出5丁目14-1,54-0041,30,7:00,16:00?18:00,19:00,,36.0660145,136.234101,公立保育園一覧№4
5,k-5,公立保育園一覧,湊保育園,光陽1丁目9-8,22-0061,60,7:30,16:00?18:00,18:30,,36.0675331,136.2036427,公立保育園一覧№5
6,k-6,公立保育園一覧,西藤島保育園,三郎丸1-1414,22-8851,120,7:30,16:00?18:00,18:30,,36.079501,136.1939385,公立保育園一覧№6
7,k-7,公立保育園一覧,御幸保育園,御幸2丁目7-29,22-0062,100,7:00,16:00?18:00,19:00,,36.057135,136.2305073,公立保育園一覧№7
8,k-8,公立保育園一覧,社保育園,種池1丁目811,36-0065,105,7:30,16:00?18:00,18:30,,36.0352675,136.1914888,公立保育園一覧№8
9,k-9,公立保育園一覧,河合保育園,山室町10-7,55-0109,80,7:30,16:00?18:00,18:30,,36.11874959,136.1930573,公立保育園一覧№9
10,k-10,公立保育園一覧,清明保育園,江端町32-67,38-2633,60,7:30,16:00?18:00,18:30,,36.0277468,136.2102241,公立保育園一覧№10
11,k-11,公立保育園一覧,西安居保育園,本堂町8-31-1,37-1231,85,7:30,16:00?18:00,18:30,,36.0597996,136.1350558,公立保育園一覧№11
12,k-12,公立保育園一覧,松本保育園,幾久町7-17,22-0068,70,7:30,16:00?18:00,18:30,,36.0812983,136.2263072,公立保育園一覧№12
13,k-13,公立保育園一覧,上北野保育園,上北野1丁目22-46,54-0069,110,7:00,16:00?18:00,19:00,,36.0621297,136.2502086,公立保育園一覧№13
14,k-14,公立保育園一覧,麻生津保育園,浅水二日町131-18,38-1356,60,7:30,16:00?18:00,18:30,,36.0017301,136.1968652,公立保育園一覧№14
15,k-15,公立保育園一覧,啓蒙保育園,開発1丁目1910,54-0070,160,7:30,16:00?18:00,18:30,,36.0772887,136.2436253,公立保育園一覧№15
16,k-16,公立保育園一覧,牧島保育園,文京3丁目26-23,22-0071,70,7:30,16:00?18:00,18:30,,36.07991742,136.2107974,公立保育園一覧№16
17,k-17,公立保育園一覧,本郷保育園,大年町1-56,83-0549,30,7:30,16:00?18:00,18:30,,36.1166949,136.141458,公立保育園一覧№17
18,k-18,公立保育園一覧,鶉保育園,砂子坂町6-20,83-0160,90,7:30,16:00?18:00,18:30,,36.14348052,136.1460757,公立保育園一覧№18
19,k-19,公立保育園一覧,棗保育園,石新保町13-17,85-1130,50,7:30,16:00?18:00,18:30,,36.1451689,136.1081627,公立保育園一覧№19
20,k-20,公立保育園一覧,森田東保育園,上森田4丁目302,56-0249,80,7:30,16:00?18:00,18:30,,36.1132313,136.2351677,公立保育園一覧№20
21,k-21,公立保育園一覧,森田浜保育園,栗森町浜603,56-0482,120,7:00,16:00?18:00,19:00,,36.1145259,136.241681,公立保育園一覧№21
22,k-22,公立保育園一覧,東藤島保育園,藤島町46-13-1,54-4355,80,7:30,16:00?18:00,18:30,,36.0864918,136.27144,公立保育園一覧№22
23,k-23,公立保育園一覧,六条保育園,天王町21-1-1,41-1140,40,7:30,16:00?18:00,18:30,,36.0270945,136.234578,公立保育園一覧№23
